Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,nom,url_end,type1,min1,med2,max3,type2,min1.1,med2.1,max3.1,type3,min1.2,med2.2,max3.2
39354,MONTHOLIER,39800,MONTHOLIER,montholier,montholier-39800,,1 074,1 193,1 372,,,,,,,,
39361,MONTMIREY LE CHATEAU,39290,MONTMIREY LE CHATEAU,montmirey-le-chateau,montmirey-le-chateau-39290,,665,1 028,1 183,,,,,,,,
39366,MONT SUR MONNET,39300,MONT SUR MONNET,mont-sur-monnet,mont-sur-monnet-39300,,1 006,1 341,2 012,,856,1 142,1 713,,,,
39368,HAUTS DE BIENNE,39400,HAUTS DE BIENNE,morez,morez-39400,,1 016,1 570,2 047,,681,1 051,1 370,,,,
39375,MOUTONNE,39270,MOUTONNE,moutonne,moutonne-39270,,940,1 071,1 348,,,,,,,,
39379,NANCE,39140,NANCE,nance,nance-39140,,1 017,1 356,2 034,,,,,,,,
39389,NEY,39300,NEY,ney,ney-39300,,907,1 554,2 034,,693,1 188,1 556,,,,
39391,NOZEROY,39250,NOZEROY,nozeroy,nozeroy-39250,,937,1 237,1 475,,,,,,,,
39392,OFFLANGES,39290,OFFLANGES,offlanges,offlanges-39290,,750,947,1 224,,641,809,1 046,,,,
39397,ORGELET,39270,ORGELET,orgelet,orgelet-39270,,675,1 123,1 650,,630,1 050,1 542,,,,
39397,ORGELET,39270,ORGELET,orgelet,orgelet-39270,,675,1 123,1 650,,630,1 050,1 542,,,,
39405,PARCEY,39100,PARCEY,parcey,parcey-39100,,1 008,1 195,1 821,,1 049,1 244,1 895,,,,
39408,PATORNAY,39130,PATORNAY,patornay,patornay-39130,,947,1 263,1 895,,587,782,1 174,,,,
39411,PERRIGNY,39570,PERRIGNY,perrigny,perrigny-39570,,728,1 195,1 551,,635,1 042,1 353,,,,
39413,LA PESSE,39370,LA PESSE,la pesse,la-pesse-39370,,996,1 615,1 881,,1 764,2 862,3 332,,,,
39424,LES PLANCHES EN MONTAGNE,39150,LES PLANCHES EN MONTAGNE,les planches-en-montagne,les-planches-en-montagne-39150,,1 254,1 617,1 935,,,,,,,,
39434,POLIGNY,39800,POLIGNY,poligny,poligny-39800,,628,1 095,1 715,,561,978,1 532,,,,
39439,PORT LESNEY,39600,PORT LESNEY,port-lesney,port-lesney-39600,,,,,,,,,,,,
39448,RAHON,39120,RAHON,rahon,rahon-39120,,1 119,1 243,1 822,,1 098,1 220,1 788,,,,
39454,RECANOZ,39230,RECANOZ,recanoz,recanoz-39230,,795,1 060,1 590,,,,,,,,
39464,ROMAIN,39350,ROMAIN,romain,romain-39350,,1 131,1 257,1 445,,,,,,,,
39471,RUFFEY SUR SEILLE,39140,RUFFEY SUR SEILLE,ruffey-sur-seille,ruffey-sur-seille-39140,,989,1 099,1 264,,,,,,,,
39477,ST BARAING,39120,ST BARAING,saint-baraing,saint-baraing-39120,,1 036,1 152,1 324,,,,,,,,
39478,ST CLAUDE,39200,ST CLAUDE,saint-claude,saint-claude-39200,,631,1 107,1 446,,449,788,1 029,,,,
39478,ST CLAUDE,39200,ST CLAUDE,saint-claude,saint-claude-39200,,631,1 107,1 446,,449,788,1 029,,,,
39480,ST DIDIER,39570,ST DIDIER,saint-didier,saint-didier-39570,,926,1 235,1 852,,,,,,,,
39483,ST HYMETIERE,39240,ST HYMETIERE,saint-hymetiere,saint-hymetiere-39240,,747,1 077,1 532,,,,,,,,
39486,ST LAMAIN,39230,ST LAMAIN,saint-lamain,saint-lamain-39230,,735,980,1 470,,,,,,,,
39498,SALANS,39700,SALANS,salans,salans-39700,,852,1 511,2 054,,830,1 473,2 003,,,,
39502,SANTANS,39380,SANTANS,santans,santans-39380,,813,1 135,1 305,,,,,,,,
39503,SAPOIS,39300,SAPOIS,sapois,sapois-39300,,1 089,1 452,2 178,,,,,,,,
39506,SAVIGNA,39240,SAVIGNA,savigna,savigna-39240,,747,997,1 495,,,,,,,,
39507,SELIGNEY,39120,SELIGNEY,seligney,seligney-39120,,948,1 264,1 897,,,,,,,,
39514,SERRE LES MOULIERES,39700,SERRE LES MOULIERES,serre-les-moulieres,serre-les-moulieres-39700,,854,1 139,1 709,,,,,,,,
39517,SIROD,39300,SIROD,sirod,sirod-39300,,1 042,1 165,1 557,,,,,,,,
39518,SONGESON,39130,SONGESON,songeson,songeson-39130,,955,1 273,1 910,,622,830,1 245,,,,
39519,SOUCIA,39130,SOUCIA,soucia,soucia-39130,,967,1 289,1 934,,,,,,,,
39527,TAXENNE,39350,TAXENNE,taxenne,taxenne-39350,,924,1 037,1 482,,,,,,,,
39532,THOISSIA,39160,THOISSIA,thoissia,thoissia-39160,,694,897,1 031,,,,,,,,
39540,VALEMPOULIERES,39300,VALEMPOULIERES,valempoulieres,valempoulieres-39300,,854,1 139,1 708,,,,,,,,
39542,VALFIN SUR VALOUSE,39240,VALFIN SUR VALOUSE,valfin-sur-valouse,valfin-sur-valouse-39240,,857,952,1 095,,,,,,,,
39545,LE VAUDIOUX,39300,LE VAUDIOUX,le vaudioux,le-vaudioux-39300,,1 075,1 433,2 150,,,,,,,,
39548,VAUX SUR POLIGNY,39800,VAUX SUR POLIGNY,vaux-sur-poligny,vaux-sur-poligny-39800,,926,1 081,1 291,,,,,,,,
39552,VERNANTOIS,39570,VERNANTOIS,vernantois,vernantois-39570,,941,1 045,1 202,,,,,,,,
39559,LA VIEILLE LOYE,39380,LA VIEILLE LOYE,la vieille-loye,la-vieille-loye-39380,,698,1 212,1 428,,,,,,,,
39562,VILLARD SUR BIENNE,39200,VILLARD SUR BIENNE,villard-sur-bienne,villard-sur-bienne-39200,,1 239,1 437,1 653,,,,,,,,
39567,VILLENEUVE SOUS PYMONT,39570,VILLENEUVE SOUS PYMONT,villeneuve-sous-pymont,villeneuve-sous-pymont-39570,,953,1 270,1 906,,,,,,,,
39569,VILLERS FARLAY,39600,VILLERS FARLAY,villers-farlay,villers-farlay-39600,,1 026,1 498,2 095,,,,,,,,
39571,VILLERS ROBERT,39120,VILLERS ROBERT,villers-robert,villers-robert-39120,,985,1 314,1 971,,,,,,,,
39576,VINCELLES,39190,VINCELLES,vincelles,vincelles-39190,,812,989,1 697,,,,,,,,
